¿compras_productos_de_dermocosmética?,¿has_comprado_productos_de_dermocosmética_en_fybeca_alguna_vez?,"cuando_piensas_en_fybeca,_¿qué_tan_asociada_la_percibes_con_productos_de_dermocosmética?",¿cuál_de_las_siguientes_palabras_describe_mejor_a_fybeca_en_dermocosmética?,"la_comunicación_de_fybeca_sobre_dermocosmética_(imágenes,_textos,_promociones)_es:","¿sientes_que_la_comunicación_de_fybeca_aborda_problemas_reales_de_la_piel_(acné,_manchas,_sensibilidad,_envejecimiento,_etc.)?",¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_beneficios_claros_del_producto,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_recomendaciones_según_tipo_de_piel,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_antes_y_después_/_resultados,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_consejos_de_expertos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_promociones_y_descuentos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_comparación_entre_productos,¿cómo_percibes_los_precios_de_fybeca_en_dermocosmética?,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_ni_de_acuerdo_ni_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_de_acuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_de_acuerdo,¿qué_tanto_confías_en_fybeca_como_experta_en_el_cuidado_de_la_piel?,¿crees_que_en_fybeca_puedes_recibir_asesoría_adecuada_para_elegir_productos_dermocosméticos?,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_personal_capacitado,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_recomendaciones_dermatológicas,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_test_de_piel,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_contenido_educativo,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_opiniones_de_otros_clientes,¿qué_debería_mejorar_fybeca_para_que_la_elijas_como_tu_principal_lugar_de_compra_de_dermocosmética?,ciudad:,ciudad
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,"Instruir al personal para que NO acosrn al cliente apenas llegue a comprar sino que le hagan sentir que cualquier duda o pregunta ella está ahí para aclarar su necesidad,con calidez .",Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Nada,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Que siempre esté un asesor pendiente al.momwnto de elegir un producto para recibir la asesoría correspondiwnte,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,La gama de productos,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,Calidad,nan,nan,"Precio, Producto",nan,Mucho,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Más personas especializadas en piel.,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Básica,No la he visto,En parte,nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Poco,No,nan,Recomendaciones dermatológicas,nan,nan,nan,Deberia mejorar la diversidad de productos que envían los dermatologos para el cuidado de la piel..por ejemplo: para la rosácea envían bloqueador especial Eliocare o las pastillas de nacionalidad que no se encuentra en las farmacias fácilmente.,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,Consejos de expertos,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Todo está bien,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Manta,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayas guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,"Precio, Calidad",Producto,nan,nan,Algo,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Precios y calidez,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Clara,En parte,nan,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,En parte,nan,nan,Test de piel,nan,nan,Q este en mucho lugar de pais,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Precio, Calidad",nan,nan,Producto,nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Precio,Guayaquil,Guayaquil
Sí,"No, nunca",Poco asociada,Moderna,Clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,No lo sé,"Precio, Calidad",nan,nan,Producto,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,Test de piel,nan,nan,Que sus precios no sean tan altos,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,Producto,Calidad,Precio,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Tener más promociones y descuentos,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,"Calidad, Producto",Precio,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Tener más promociones y descuentos,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,En parte,Personal capacitado,nan,nan,Contenido educativo,nan,La atención de parte de sus empleados y precios un poco más accesibles,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,No,Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Calidad, Producto",Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Exlecia,Pedro carbo,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,No la asocio con dermocosmética,Poco clara,No he notado su comunicación,nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,Producto,Calidad,Precio,Poco,No lo sé,nan,nan,nan,nan,Opiniones de otros clientes,"Precio o promociones, y si es en caso de una marco no conocida que se pueda ver las recomendaciones de cliente que ya lo han solicitado.",Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,No,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,tener personal que te ayude a escoger la mejor opción y sepa sobre tipo de pieles,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tapachula,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Duran,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más consejos de expertos,Milagro,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayas / durán,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Atención al cliente,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Nada,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,"Precio, Calidad, Producto",nan,nan,Mucho,En parte,nan,nan,Test de piel,nan,nan,Más explicación,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Económica,Clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Personal más capacitado,Playas,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,"En nada, todo está perfecto",Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,Precio,"Calidad, Producto",nan,nan,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Màs personal capacitado,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Pedro Carbo,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Tener esas máquinas para ver la piel,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Similares,nan,nan,nan,Calidad,"Precio, Producto",Algo,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Personal capacitado que den buenas recomendaciones,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,Calidad,"Precio, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más descuentos,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,nan,Test de piel,nan,nan,La atención,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Clara,"Sí, claramente",Beneficios claros del producto,nan,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,"Calidad, Producto",nan,nan,nan,Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Mejorar precios,Guayaquil 9,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Su tiempo de atender demora,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,"Más promociones, días incentivos con facturas participar en limpiezas faciales",Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Similares,"Precio, Calidad",nan,nan,Producto,nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Que te indiquen que tienen esa linea,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Moderna,No la he visto,No he notado su comunicación,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,No lo sé,nan,nan,nan,Producto,"Precio, Calidad",Algo,No,Personal capacitado,nan,nan,nan,nan,Más variedad,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Confusa,Poco clara,No,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,Comparación entre productos,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,"Sí, totalmente",Personal capacitado,nan,Test de piel,nan,Opiniones de otros clientes,Más impulso,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil ecuador,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Producto",Calidad,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,Opiniones de otros clientes,Que tenga más promociones.,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Económica,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,"Asesores expertos en el área, recomendaciones on pruebas y cambios con el uso del producto","Guayaquil, cantón Durán ciudadela el recreo 1mera etapa",Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,No lo sé,Precio,nan,Producto,Calidad,nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Todos los productos en algunos no hay,Guayaquil Duran,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,Precio,nan,"Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Más obsequios por compras de productos,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Moderna,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,Comparación entre productos,Más bajos que la competencia,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Un personal capacitado en el área,Milagro,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Precio,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Precio,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Precio,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Similares,nan,nan,Precio,nan,"Calidad, Producto",Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Opinión profesional,Riobamba,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Producto,"Precio, Calidad",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Nada. Porq don completos en recomendación. Atención y precio,Guauaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más promociones,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,El Empalme provincia del Guayas Ecuador,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,Producto,"Precio, Calidad",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Dar más dirección en cuanto a productos que puedan ayudar de acuerdo a tu tipo de piel y tal vez asociarse con productos marca coreana que son muy buenos,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Moderna,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Más altos,nan,nan,nan,Precio,"Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Mejorar costos,Daule,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,No la he visto,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Más altos,"Precio, Calidad",nan,nan,Producto,nan,Poco,No,nan,nan,Test de piel,nan,nan,La atención mejor,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Moderna,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Que no acosen al cliente para vender sus productos sino que le den espacio,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Promociones en dermocosmetica por edades,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Poco clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,Calidad,nan,"Precio, Producto",nan,nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Más información en cada local,Duran,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,Producto,nan,Calidad,nan,Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más productos,Duran,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,Nada todo me encanta,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Mayor explicación y demostración de los productos,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más demostraciones del producto y invitar a los clientes que existan a las charlas,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,"Calidad, Producto",nan,Precio,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Asesoría,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Básica,No la he visto,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Sean más explícito,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Moderna,Poco clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,Precio,Producto,Calidad,nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Asesoría y conocimiento en los productos,Guayaquil,Guayaquil
